,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2020-01-11,0,1,5,12,24,34,52,64,72,94,115,143,158,184,225,257,310,361,405,467,531,587,652,729,800,863,919,994,1078,1143,1216,1287,1362,1451,1548,1661,1783,1885,2000,2123,2230,2354,2466,2597,2705,2837,2965,3086,3212,3354,3470,3581,3727,3858,3974,4113,4229,4348,4493,4632,4763,4885,5031,5167,5292,5443,5559,5683,5830,5983,6107,6231,6379,6512,6631,6761,6893,7017,7131,7256,7377,7523,7665,7809,7933,8071,8224,8383,8503,8641,8755,8893,9044,9194,9314,9456,9610,9737,9859,9859
2020-01-12,3,7,14,22,34,46,58,77,99,131,163,202,247,293,360,410,474,531,613,699,785,868,953,1044,1143,1232,1327,1408,1509,1620,1737,1840,1951,2064,2189,2313,2448,2561,2681,2827,2955,3073,3181,3291,3431,3570,3721,3853,3993,4125,4260,4379,4526,4661,4802,4961,5094,5231,5370,5498,5621,5739,5866,6016,6120,6238,6378,6505,6628,6730,6868,7039,7187,7321,7431,7572,7705,7831,7963,8084,8186,8318,8432,8546,8676,8785,8889,9018,9132,9265,9402,9508,9637,9771,9886,9986,10102,10215,10333,10333
2020-01-13,2,5,17,26,39,56,72,102,129,156,189,216,255,287,335,390,439,508,559,630,690,761,852,918,991,1073,1135,1217,1318,1437,1546,1647,1755,1876,1988,2090,2219,2321,2446,2558,2669,2812,2921,3057,3186,3323,3460,3611,3745,3865,4000,4148,4289,4376,4504,4624,4741,4866,4999,5116,5236,5361,5501,5634,5746,5868,5998,6128,6265,6408,6547,6675,6828,6969,7067,7216,7331,7461,7595,7707,7844,7984,8102,8231,8323,8444,8584,8701,8815,8934,9067,9198,9338,9458,9575,9697,9813,9937,10057,10057
2020-01-14,4,9,11,19,28,33,44,50,60,74,97,117,154,186,232,281,316,361,417,482,551,606,664,722,786,854,921,1012,1090,1181,1258,1343,1424,1529,1635,1755,1867,1974,2070,2173,2281,2404,2499,2611,2716,2828,2942,3063,3183,3302,3415,3516,3640,3757,3875,3994,4101,4226,4341,4471,4588,4708,4824,4951,5081,5206,5331,5445,5585,5695,5822,5964,6113,6215,6346,6495,6607,6740,6863,6969,7098,7233,7357,7498,7625,7735,7836,7947,8052,8166,8278,8420,8557,8687,8808,8922,9047,9160,9270,9270
2020-01-15,0,4,7,12,22,35,47,60,81,102,137,168,194,236,279,326,378,433,480,539,609,669,735,799,865,938,1023,1121,1216,1301,1379,1474,1569,1672,1813,1941,2058,2187,2308,2453,2575,2712,2848,2987,3122,3266,3406,3541,3700,3814,3957,4100,4229,4348,4468,4570,4673,4804,4928,5044,5160,5290,5433,5565,5694,5807,5936,6054,6210,6339,6467,6579,6723,6837,6972,7083,7195,7304,7401,7507,7601,7743,7873,8000,8117,8236,8346,8454,8579,8704,8810,8910,9023,9137,9234,9331,9416,9527,9636,9636
2020-01-16,3,11,14,20,26,35,55,74,103,135,171,230,280,328,376,443,512,570,637,706,782,847,931,1009,1099,1198,1292,1389,1497,1586,1702,1813,1916,2049,2153,2262,2370,2511,2650,2779,2919,3072,3215,3346,3480,3609,3747,3877,3994,4132,4253,4412,4546,4675,4802,4920,5059,5195,5314,5444,5592,5714,5839,5973,6091,6219,6354,6474,6613,6741,6892,7016,7171,7314,7469,7604,7728,7855,7982,8104,8235,8371,8502,8630,8750,8856,8979,9086,9218,9357,9465,9582,9697,9810,9919,10032,10124,10226,10330,10330
2020-01-17,3,5,18,27,39,55,69,96,123,148,180,215,256,316,380,450,506,572,663,733,810,911,1008,1109,1198,1290,1403,1508,1612,1723,1851,1976,2092,2209,2330,2459,2592,2708,2819,2957,3097,3228,3366,3507,3655,3790,3912,4058,4203,4326,4486,4622,4772,4919,5066,5226,5349,5475,5627,5774,5913,6064,6195,6340,6492,6646,6784,6936,7087,7207,7327,7461,7594,7721,7846,7983,8121,8254,8398,8511,8642,8775,8910,9007,9135,9249,9368,9476,9599,9699,9810,9920,10038,10143,10247,10351,10457,10578,10704,10704
2020-01-18,1,6,21,29,50,71,84,109,139,170,203,239,275,316,361,414,473,526,585,647,719,794,868,945,1044,1128,1212,1291,1384,1477,1594,1688,1776,1893,1997,2101,2206,2314,2440,2577,2688,2802,2911,3030,3144,3272,3390,3526,3665,3811,3921,4059,4200,4323,4453,4586,4716,4862,4994,5119,5251,5373,5496,5620,5752,5872,6002,6121,6247,6365,6472,6610,6728,6844,6960,7083,7190,7330,7458,7575,7714,7842,7957,8100,8206,8343,8473,8613,8728,8856,8984,9106,9220,9349,9463,9592,9725,9843,9957,9957
2020-01-19,3,21,27,40,58,71,87,120,149,193,231,276,328,385,445,519,601,670,744,831,914,1017,1108,1212,1304,1402,1508,1616,1722,1837,1933,2049,2162,2256,2361,2498,2633,2752,2880,2998,3140,3274,3420,3573,3715,3857,3979,4112,4245,4390,4527,4655,4811,4911,5021,5163,5284,5422,5547,5681,5797,5956,6052,6192,6302,6438,6577,6692,6804,6922,7040,7161,7280,7407,7514,7639,7775,7925,8051,8161,8281,8408,8519,8647,8762,8889,9020,9145,9258,9410,9506,9617,9739,9841,9942,10045,10170,10292,10413,10413
2020-01-20,4,12,15,23,42,54,75,91,123,142,179,196,239,284,329,371,420,478,515,574,639,690,750,824,885,965,1048,1138,1221,1299,1379,1457,1553,1634,1725,1825,1922,2036,2131,2219,2329,2434,2523,2633,2743,2843,2944,3053,3147,3258,3383,3482,3606,3728,3830,3959,4074,4198,4310,4425,4546,4669,4794,4922,5053,5173,5306,5422,5543,5670,5778,5917,6011,6138,6257,6394,6521,6655,6783,6941,7059,7179,7296,7404,7521,7637,7758,7895,8021,8139,8254,8369,8481,8606,8702,8823,8940,9046,9156,9156
