,rf_fl_prediction_3,xgbt_fl_prediction_3,gp_fl_prediction_3,enet_fl_prediction_3,rf_fl_prediction_5,xgbt_fl_prediction_5,gp_fl_prediction_5,enet_fl_prediction_5,rf_fl_prediction_7,xgbt_fl_prediction_7,gp_fl_prediction_7,enet_fl_prediction_7
1,160.4727618116662,151.6355169477125,135.87905610675165,135.9170062320434,157.07898812231116,150.15967334807306,135.34929600655798,134.5109337517108,158.69289490973972,146.74507657839837,145.97913363061596,143.9513708095349
2,185.30052981332594,171.29216999034136,177.230964165508,176.99636648885388,179.76509104001434,171.58469483027906,174.31116536065298,171.28945435697014,177.757524506012,169.14589856097604,191.20240803401526,188.5503045125307
5,199.26803195288835,206.8461022112817,223.48694710465517,225.01536842966317,195.50683737710781,201.9998948019528,246.44635899376024,244.50274168933947,191.9159980435597,196.66813417531577,279.30679377256934,280.7514669303942
7,217.09672055047852,210.54754807406331,245.85484653400158,246.7223891922152,194.94765195234828,202.89974125168322,269.59943856160635,268.5779564683378,184.0787723268266,177.85477221598526,282.44461659479697,285.11823813867716
10,203.83592634609113,212.82942700669943,238.2903723256392,245.03791559967942,195.91502135895414,191.02832905095516,253.89224821116164,252.7103502133587,193.14739842844216,178.1694979506874,255.89897589672304,258.84282661894366
15,226.17685525059395,230.0873529770813,259.2150937996962,265.236257354872,220.37618047993698,213.82325645261324,285.65796779930713,288.8623249303341,243.33996923807453,240.78936853607138,307.3901746586664,312.6622634599564
20,276.87328327148504,272.6213307868627,355.48719025420644,364.4954165756392,267.88805992971527,267.6453250105445,433.11947349897525,447.2570279051305,303.52549619564655,311.1753685624876,476.6736259695645,500.79319858220185
25,326.3376180432559,312.8372260457505,415.0212025757192,427.3852727491976,313.2745640750953,333.7672392551432,503.06289760015125,511.12160490526486,350.2175095688612,301.91546830197353,552.3039073096797,574.4182438206601
30,363.70975839386625,374.5337234482364,454.2489209156885,458.2944700405554,309.2417328658881,297.54601324837137,541.0142046361944,557.6568844627834,374.70314154650106,302.8467103998325,607.5580395223475,629.302658399106
