,rf_betti_der_prediction_3,xgbt_betti_der_prediction_3,gp_betti_der_prediction_3,enet_betti_der_prediction_3,rf_betti_der_prediction_5,xgbt_betti_der_prediction_5,gp_betti_der_prediction_5,enet_betti_der_prediction_5,rf_betti_der_prediction_7,xgbt_betti_der_prediction_7,gp_betti_der_prediction_7,enet_betti_der_prediction_7
1,160.61871849466868,154.31145453270798,130.33096004862776,131.42680570875572,155.07269229884895,146.00879254346296,136.96504075691513,137.68851155223393,157.6266700112986,152.0593880692672,149.74771048774292,150.38638185582732
2,190.895201946903,178.49323516593003,173.06282613430633,172.59396069109204,182.57594502066357,170.46431444733528,182.387566952321,182.51399759113033,180.1725256688425,173.57365151427794,194.8620341877405,195.65316573310218
5,219.38257059679788,214.90393202545178,267.40496668416915,266.65660078798703,208.24086307836546,205.53508216360535,261.2222158645598,262.42449511849327,194.89141288062223,188.46455900248193,269.64267070682484,275.7141512877132
7,213.38359149495005,213.39393149759437,295.00828939755274,294.03413559211066,194.83294422856216,178.3495444345177,297.7759340459844,299.64487049897446,201.96514986494407,211.27924649619516,306.2092223264776,313.510175354382
10,202.9953981920518,214.0226740324492,309.39929802738885,314.33366590127014,205.79714290085593,186.70032137090712,331.097638124491,337.04792000064595,212.634664638027,193.5790859054769,325.5221488546729,333.3963233447673
15,256.70510228551603,285.29912372806194,359.66310788754845,361.4629287131743,254.04930353256057,262.8497574661236,393.4414683333313,399.9212179300602,265.39076153115394,272.9225531171801,388.9641391916639,398.063996516528
20,320.3551476889893,338.38138246658906,461.76654901375537,469.3884827389058,348.99288915074203,350.80436143240865,526.4570512881733,541.5811306898842,363.45230216151447,369.2870699063264,537.8073858964661,560.2439137897502
25,392.72708190929285,393.7942990953526,590.3250188308518,600.1802668590135,434.9213020269701,437.25082046806955,682.5265161308303,704.6284948122848,442.2762095142336,436.6636004981409,643.4990878403182,673.6651660857701
30,496.43539315319936,489.1973017096476,662.3413686344069,671.5532539613271,476.39083329493866,450.2006219453723,719.7886586456243,741.0795756106,466.81224128062996,417.01589897748505,682.8893812536794,710.1995971681722
