,rf_betti_prediction_3,xgbt_betti_prediction_3,gp_betti_prediction_3,enet_betti_prediction_3,rf_betti_prediction_5,xgbt_betti_prediction_5,gp_betti_prediction_5,enet_betti_prediction_5,rf_betti_prediction_7,xgbt_betti_prediction_7,gp_betti_prediction_7,enet_betti_prediction_7
1,160.4606418533914,145.6569857576354,130.03464236320212,131.1744170122002,156.45974993424585,144.51101169115105,136.9336699776259,137.71489920377314,156.7454911792695,152.37109305901825,149.68190120698748,150.3653834124036
2,186.12686504334533,171.83868889164629,172.56659976384194,172.131687158248,182.53663639303483,168.3639510108978,182.38943879349975,182.5467199835493,179.8749385751677,174.90246567730256,194.87025847605742,195.65174024179504
5,219.15271556522805,210.87133517858703,267.0679292712356,266.34927122624225,196.3998368252407,201.63196671163033,261.2584523203842,262.5715611267519,195.77749365632172,189.89468791938336,269.7736721295699,275.8908211053297
7,213.76150735706395,207.22394890552587,293.9683437159815,293.01772344212566,192.07367929920449,181.4928855354942,297.6915834405352,299.968242398895,203.39478416616146,212.2680145476468,306.4862005081929,313.68741712330194
10,202.0229345995088,206.5072637947634,309.2787586784437,314.059424662935,205.3026976590204,187.9481776980027,331.5113365073455,337.50714786311636,212.01087056157442,190.64663647701735,325.9071868736435,333.8179374407057
15,256.74797007563035,287.55438616025316,360.35389184385735,362.29088540133495,259.18060442707906,260.2505331406643,393.6487003536744,400.2436189899959,266.6276794365838,273.0261617501151,389.5126544111883,398.72556052823074
20,321.4901728772863,338.8543787528796,461.13551998798835,468.87171974760173,347.1397011209248,354.4207668859149,527.2427501251556,542.3970161356987,369.3500048943311,370.22664679895746,538.4346350952127,560.9101664360417
25,398.0485760452214,383.2051539319376,589.6533818801076,599.5573223063525,427.7274153750355,428.1414719458978,683.4797481565168,705.7617153054251,438.65172924774237,433.78015168977015,644.4202998726327,674.6955176071705
30,495.93680456110707,486.2773899740764,663.6290502451025,672.9414462443681,477.4024063441546,455.30916968583006,721.1943499497518,742.6525691234854,460.0089503218894,412.2080300042686,683.9448954417289,711.4259517495371
