,rf_base_prediction_3,xgbt_base_prediction_3,gp_base_prediction_3,enet_base_prediction_3,rf_base_prediction_5,xgbt_base_prediction_5,gp_base_prediction_5,enet_base_prediction_5,rf_base_prediction_7,xgbt_base_prediction_7,gp_base_prediction_7,enet_base_prediction_7
1,140.5018484426696,152.95879347065994,122.88014010841168,124.03768464905062,143.33981103929523,152.7552208600413,127.2749762875834,128.28461015058045,145.85399968510686,158.2131789706534,136.27864239540475,137.49936602147937
2,166.31198872245943,184.42387318349,163.15725812382564,164.8402012574616,168.11996271641283,187.70506119974496,169.44005611187265,170.45935554029435,171.3799994893473,189.68090968782283,177.08957829039286,178.74522161262274
5,205.79158100267955,234.79926533104825,253.95832551126878,255.80099158251457,205.50738261147868,220.09734210117122,258.02624163995824,260.2776251893149,196.85410478900894,200.35948941839516,268.0723251860551,272.8184206837114
7,216.97543081253647,241.6848154104846,283.99340656781516,286.46328419057403,194.08359095594852,211.83562023418065,288.73357336889865,292.62434842049663,194.24274253684587,206.08463067390542,306.2535659673886,312.27775508212886
10,203.68484329607722,211.66076632196152,304.99627132431425,308.02030685902866,200.3264893541747,204.15819846383832,311.7697958926641,316.0512524473805,203.62120384203385,205.39773611215875,327.91073192071906,333.58087097367746
15,245.52993066104463,275.7806737246104,357.96881634363075,360.70729918988286,254.72981243203913,294.50643456467975,385.450456414789,390.7754491510501,262.8753712365264,297.33977197811936,413.93760954645177,422.5622956074911
20,308.87874649407786,329.1622396326772,492.407030619585,496.5998734640416,332.5533974143232,359.50329622967297,536.9363132503295,546.5191385979465,360.13159585683565,394.17293159221373,603.6601759513089,619.848542915303
25,380.6505039447957,388.7991769538613,636.2662734566061,643.7957811404312,434.8189325160086,469.2362517964698,703.649950502873,716.8194335135478,452.8521098621547,479.27927140655686,755.8722932011785,776.9686131486125
30,429.66489268423993,444.3797700165929,729.8589479925937,738.5731601072204,427.1870558311917,474.3244880880598,765.4995945712717,780.3887480227448,434.5626227846682,440.7286012956273,800.1038497535508,822.3596772786974
