,rf_betti_prediction_3,xgbt_betti_prediction_3,gp_betti_prediction_3,enet_betti_prediction_3,rf_betti_prediction_5,xgbt_betti_prediction_5,gp_betti_prediction_5,enet_betti_prediction_5,rf_betti_prediction_7,xgbt_betti_prediction_7,gp_betti_prediction_7,enet_betti_prediction_7
1,161.54520039590727,144.673243898103,520.5948476105211,131.17441701220037,156.1048862120865,139.7209719405072,503.5031380953504,137.71489920377329,157.47497222297866,145.60881669734152,473.6376172268557,150.3653813123892
2,185.90428427484738,165.45497121573592,534.1461398913532,172.131687158248,183.80922540254912,162.7858793016151,510.76382131819605,182.5467199835497,178.0771610941676,168.68575073194535,482.7567929639888,195.65175778810828
5,218.47661243455602,221.35771954011452,561.615482788145,266.34927122624225,197.26060447572428,194.89228435215182,537.2944441624511,262.5715611267522,193.66109594530863,183.2732113539783,507.10766870969167,275.89082092831944
7,213.69570727526835,201.15874328499868,583.4878567617875,293.0177234421257,190.8392115056059,180.65788109019766,555.183015655706,299.96824239889503,203.9417628133763,201.67147170584144,522.1163172342854,313.6874171629567
10,202.36676520959253,202.7892008959057,594.3145736839728,314.059424662935,203.28411020830916,184.00314535355096,559.4682289238992,337.50714786311613,212.65831653901142,178.65162327837942,537.2519463606499,333.8179359120164
15,254.9562804444827,284.0804023511654,629.5227516561671,362.2908854013346,259.2327972739372,270.3032648711443,617.4634028083739,400.2436189899959,267.7369335521884,275.007990792995,611.0684090550384,398.7255622993511
20,318.98838984057204,315.8757667184996,708.0504454597124,468.8717197476019,349.44954813868225,345.1508221053515,700.738145917902,542.3970161356984,367.948836129156,377.46430294797415,708.134771617666,560.9101713844639
25,396.9545322835989,363.298788877695,763.1244094646028,599.5573223063525,424.7381282307243,427.60591670368643,768.6941814462305,705.7617153054256,439.8422904969818,439.9834996906134,760.4679364661552,674.6955136272747
30,495.8247452362657,455.45752820652774,829.3859016508932,672.9414462443681,478.41600843883793,449.42868177275915,807.0472794659869,742.6525691234855,464.8522372299007,406.20766856375326,801.8262778531109,711.4259499711762
