352003,20736,2295,800,404,312,183,156,136,122,84,71,63,55,55,52,41,28,27,1055
62105,11778,1025,217,62,36,22,13,5,5,5,5,3,1,5,3,1,2,1,18
9564,2433,899,163,39,22,11,4,5,0,7,0,0,3,0,0,0,1,1,9
3590,1016,267,203,36,20,4,3,4,0,2,1,1,3,1,0,2,0,0,6
1814,530,151,54,92,24,8,3,1,3,0,0,2,0,0,1,1,0,0,4
1084,338,116,35,18,37,5,4,1,0,3,1,0,0,0,0,0,1,0,9
789,204,107,33,11,12,15,3,1,1,1,0,1,1,0,0,0,0,0,6
521,133,71,30,8,5,3,13,4,1,0,0,1,0,0,0,0,0,0,0
466,92,38,11,4,10,3,2,6,2,0,1,0,0,0,0,0,0,0,3
354,63,29,14,8,4,3,7,3,6,0,1,0,0,0,0,0,0,0,4
308,48,55,27,16,6,5,3,0,2,6,0,1,0,1,0,0,0,0,2
271,39,24,31,7,6,2,1,0,2,1,2,0,1,0,0,0,0,0,3
224,30,16,11,11,5,3,4,1,0,1,1,2,0,0,0,0,0,0,3
210,19,15,9,15,9,6,0,0,1,0,1,2,4,1,0,0,0,0,3
168,16,7,7,13,18,5,3,2,0,1,0,0,0,2,0,0,1,1,2
112,16,9,10,17,19,7,6,1,1,0,1,0,0,0,2,0,0,0,3
105,18,8,3,11,19,6,7,1,2,1,0,0,2,1,0,1,0,0,3
92,10,6,5,14,14,8,4,3,3,0,0,1,0,1,0,1,0,0,0
80,13,9,1,6,17,11,4,4,1,0,0,0,1,0,0,1,0,2,2
1747,138,72,42,22,36,37,24,20,16,15,7,7,6,3,3,9,4,4,171
