3154,28627,2243,290,206,84,36,15,26,6,9,5,3,5,2,5,3,7,3,217
921,12857,2362,72,68,77,5,3,3,1,5,0,0,1,0,0,1,0,2,21
391,3343,574,60,33,27,3,7,5,3,2,1,0,0,1,0,0,2,0,7
193,1517,108,36,71,26,10,9,5,11,4,1,1,0,0,2,1,2,3,9
139,862,47,28,61,26,10,5,4,4,1,1,2,3,0,4,1,3,4,7
93,499,21,5,32,11,4,5,2,1,1,0,0,1,0,1,3,2,2,8
57,261,13,6,24,4,5,3,1,0,2,0,1,0,0,3,8,0,2,32
60,213,12,3,15,2,2,4,5,1,2,0,0,0,0,2,4,2,7,11
32,151,3,2,7,2,3,1,1,0,0,0,0,0,0,2,6,5,8,18
29,117,4,0,8,1,0,0,1,0,0,0,0,0,0,4,6,7,5,14
24,99,5,1,6,1,1,1,1,1,1,0,0,0,0,3,7,6,13,14
16,66,2,1,4,2,0,0,0,0,0,0,1,0,0,0,12,6,2,18
13,60,4,0,7,0,1,0,1,0,0,1,1,0,0,0,6,5,4,18
10,33,1,0,1,0,1,1,0,0,0,0,0,0,0,4,19,5,7,18
6,39,1,0,2,0,0,0,0,0,2,0,0,0,0,9,7,7,15,21
9,25,2,0,3,2,0,0,0,1,0,0,0,0,0,5,3,3,9,17
13,23,0,0,2,0,1,0,0,0,1,0,0,0,0,2,5,9,5,20
8,23,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,11
12,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,3,2,20
289,334,6,8,15,4,11,9,15,26,20,12,33,14,12,31,37,41,39,143
