502,23353,367,26,17,13,25,3,2,2,2,1,3,2,2,7,2,0,1,77
89,5259,61,10,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,15
51,805,53,5,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4
29,2047,29,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,416,24,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2
13,173,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,102,10,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,92,8,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3,66,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,38,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,114,5,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1
