,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2020-01-11,4,17,34,53,67,86,115,135,174,207,244,274,324,351,389,426,470,522,575,622,659,715,774,830,891,943,994,1047,1113,1174,1217,1272,1336,1403,1468,1528,1600,1670,1903,1969,2028,2095,2181,2261,2488,2565,2813,2902,2988,3073,3161,3247,3339,3415,3663,3762,3858,3951,4031,4115,4197,4282,4524,4597,4675,4749,4975,5041,5117,5203,5298,5389,5467,5529,5605,5671,5751,5844,5912,6011,6094,6174,6261,6345,6444,6531,6605,6843,6923,6993,7062,7132,7210,7278,7364,7443,7518,7759,7991,7991
2020-01-12,4,18,35,54,76,92,123,142,168,201,233,288,325,372,412,451,507,543,586,645,705,779,848,900,960,1029,1111,1187,1242,1318,1404,1477,1719,1789,1867,1940,2210,2296,2371,2424,2495,2735,2812,2892,2954,3047,3116,3219,3660,3735,3803,3869,4137,4220,4297,4381,4479,4576,4668,4760,4848,4920,5001,5072,5146,5214,5278,5520,5591,5669,5758,5821,5900,5977,6054,6302,6370,6435,6493,6558,6629,6690,6758,6988,7066,7142,7193,7250,7310,7376,7435,7478,7524,7589,7642,7876,7935,7998,8042,8042
2020-01-13,5,17,34,48,60,81,104,129,146,181,218,238,273,310,344,379,411,446,473,519,567,618,671,733,965,1028,1099,1153,1204,1268,1358,1431,1663,1918,1994,2076,2155,2231,2308,2376,2453,2549,2627,2713,2795,2880,2971,3066,3156,3247,3489,3585,3664,3763,3874,3947,4034,4120,4201,4287,4702,4767,4868,4938,5020,5281,5368,5454,5531,5605,5684,5769,5855,5922,6010,6091,6172,6256,6344,6412,6479,6560,6638,6707,6777,6848,6908,6967,7037,7090,7143,7203,7442,7503,7553,7613,7667,7729,7795,7795
2020-01-14,1,8,15,30,42,53,73,90,113,131,156,189,223,260,297,340,382,439,484,531,567,616,657,870,931,987,1050,1130,1195,1266,1332,1392,1468,1533,1594,1650,1724,1786,1850,1912,1987,2079,2147,2227,2306,2381,2446,2516,2584,2664,2743,2831,2934,3025,3123,3214,3312,3396,3486,3565,3644,3881,3971,4201,4283,4369,4594,4664,4734,4811,4888,4972,5045,5115,5192,5428,5506,5887,5965,6211,6288,6374,6454,6524,6607,6678,6749,6827,6897,6969,7029,7252,7333,7424,7484,7563,7637,7711,7793,7793
2020-01-15,10,20,36,45,66,80,100,126,155,178,204,234,261,295,337,372,409,449,483,523,568,626,681,730,787,832,890,950,1005,1078,1137,1218,1285,1353,1430,1507,1576,1648,1716,1787,1862,2097,2170,2256,2328,2404,2474,2555,2620,2696,2770,2844,2941,3192,3450,3534,3627,3714,3797,3876,3943,4037,4129,4218,4296,4374,4455,4697,4768,4843,4936,5015,5093,5163,5244,5322,5394,5483,5568,5640,5701,5756,5827,5895,5964,6192,6259,6342,6392,6453,6519,6567,6635,6707,6769,6997,7051,7118,7165,7165
2020-01-16,13,37,53,78,114,153,191,230,273,311,358,395,439,484,540,598,677,734,796,847,910,972,1053,1118,1182,1251,1314,1382,1455,1537,1632,1721,1815,1913,2011,2114,2233,2310,2407,2498,2594,2694,2808,3076,3341,3592,3693,3793,3898,3995,4104,4199,4302,4412,4511,4619,4712,4961,5051,5142,5226,5306,5409,5670,5944,6033,6146,6227,6324,6559,6646,6723,6824,6927,7021,7104,7172,7248,7324,7400,7466,7527,7602,7651,7727,7796,7871,7939,8010,8061,8107,8174,8228,8291,8357,8429,8647,8708,8764,8764
2020-01-17,1,12,31,62,86,114,149,185,216,240,270,313,365,432,472,521,576,633,682,729,781,857,916,975,1033,1095,1170,1229,1301,1374,1452,1523,1593,1672,1774,1853,1926,2016,2248,2324,2422,2533,2616,2699,2778,2885,2998,3102,3198,3293,3389,3462,3573,3676,3781,3898,4144,4237,4487,4558,4634,4720,4806,4899,5011,5095,5187,5255,5488,5597,5688,5771,5855,5934,6016,6095,6177,6254,6333,6418,6490,6569,6651,6715,6797,6877,6948,7007,7070,7149,7214,7288,7349,7415,7486,7702,7785,7849,7917,7917
2020-01-18,5,13,25,38,50,73,88,110,128,165,187,213,239,267,309,345,396,446,490,534,585,646,719,776,839,904,957,1028,1095,1158,1235,1311,1389,1465,1566,1645,1724,1795,1878,1959,2033,2119,2369,2462,2560,2632,2703,2772,2850,2937,3021,3093,3174,3257,3328,3590,3676,3764,3849,3921,3994,4050,4131,4218,4295,4549,4629,4890,4955,5033,5110,5181,5270,5352,5411,5479,5554,5631,5694,5766,5857,5911,5990,6064,6134,6205,6274,6325,6400,6476,6542,6622,6697,6785,6877,6941,7016,7413,7475,7475
2020-01-19,4,11,24,40,65,97,124,154,180,224,258,305,350,396,445,501,538,601,659,713,778,850,910,976,1060,1149,1249,1349,1595,1677,1759,1840,1926,2017,2092,2182,2260,2358,2441,2518,2613,2691,2776,2854,2937,3190,3269,3508,3616,3710,3797,3899,3991,4090,4179,4277,4356,4457,4538,4630,4719,4807,4889,4962,5066,5331,5417,5502,5590,5834,5922,5991,6080,6158,6236,6314,6383,6460,6545,6608,6693,6769,6852,6926,7015,7084,7160,7235,7304,7518,7592,7663,7724,7794,7865,7917,7994,8040,8258,8258
2020-01-20,8,21,35,48,63,86,114,138,167,209,243,279,331,369,422,496,539,594,647,710,771,837,883,939,999,1050,1114,1181,1579,1659,1747,1811,1897,1987,2060,2147,2232,2323,2393,2488,2545,2627,2708,2796,2863,3242,3326,3426,3518,3764,3842,3926,4004,4092,4164,4251,4321,4407,4634,4717,4787,5037,5111,5186,5268,5338,5428,5498,5593,5677,5742,5802,5869,5947,6026,6106,6184,6247,6314,6385,6441,6516,6593,6660,6727,6791,6865,6933,7005,7080,7160,7243,7325,7378,7604,7681,7756,7821,8035,8035
