,rf_betti_der_prediction_3,xgbt_betti_der_prediction_3,gp_betti_der_prediction_3,enet_betti_der_prediction_3,rf_betti_der_prediction_5,xgbt_betti_der_prediction_5,gp_betti_der_prediction_5,enet_betti_der_prediction_5,rf_betti_der_prediction_7,xgbt_betti_der_prediction_7,gp_betti_der_prediction_7,enet_betti_der_prediction_7
1,160.88235242993775,148.55005890271468,520.366860195326,131.42831940371008,157.5269997079118,141.1315432495514,503.243599908565,137.68851535787027,156.83756751811126,145.80150890851576,473.3470131148153,150.38637829138955
2,190.0985213671808,165.46106792838006,533.9348386808408,172.59442240953092,182.70842927169542,162.23935250117339,510.51668461352085,182.51399359684913,178.33030651478623,168.39300015143147,482.4811564378755,195.6531629648403
5,218.38608294299996,212.97164130465822,561.4252767751749,266.65703684784694,208.08936527595282,203.03446136062715,537.0589851130875,262.4244961834299,197.6101511280409,184.7935807867795,506.85603336629185,275.71414722232174
7,214.31217429364295,201.6698725640496,583.2969724996816,294.0315049764756,196.88410588498368,170.42108144240842,554.9638658333824,299.64486960590455,201.0760659814987,203.11136723482514,523.4995505838709,313.51017124438016
10,203.2107771256592,207.90753954582792,594.1590753839464,314.3224940698321,207.13903520919334,179.7294772707026,559.2803929754616,337.0479238206586,210.7511547587674,181.74403016330413,537.0871683464438,333.39633835159674
15,255.088759672412,279.17557199726485,629.3931309130578,361.46368334717704,255.08792965286045,272.6950127890131,617.3050001022531,399.9211835985048,265.0658051534598,277.65118404213587,610.8781150925043,398.06399055184454
20,318.19824443008116,320.0651964834665,707.6476051109422,469.3871580315692,349.66358052506746,352.47777234883904,700.5973541193666,541.5811384637467,364.5976133188351,376.97445536799967,707.9417860903437,560.2439169260467
25,394.0248592167488,383.53407932020855,763.0396773643477,600.189969223481,438.74716003024554,432.5922791728951,768.2948692024378,704.6284393411203,446.5053096855578,440.95283194464236,760.254713019365,673.6651684280082
30,500.6772407334967,459.03675234124773,829.2632712628132,671.5258699602159,473.4407832525756,449.28042467928645,806.841011536564,741.0795828101234,460.33298702869035,410.8508975285316,801.2025495525498,710.1995954709877
