,rf_base_prediction_3,xgbt_base_prediction_3,gp_base_prediction_3,enet_base_prediction_3,rf_base_prediction_5,xgbt_base_prediction_5,gp_base_prediction_5,enet_base_prediction_5,rf_base_prediction_7,xgbt_base_prediction_7,gp_base_prediction_7,enet_base_prediction_7
1,141.05028388992173,151.55331570110897,776.5670536002308,124.03768464905056,142.52323969318036,149.50265047817715,771.2669912601915,128.28461015058025,145.7860645375381,148.1240443007144,768.5706586648232,137.49936602147932
2,165.82747369059248,182.1783535439927,779.8756591310489,164.84020125746153,168.05495981074262,179.56615772466705,772.9081076891365,170.45935554029433,170.11417239199454,181.3608419698144,771.0209913884585,178.74522161262274
5,205.34629267650823,224.75835913264717,787.5547904110375,255.80099158251446,204.10238532140804,218.9290981116946,779.5787184714223,260.2776251893148,197.42746180000444,199.45330280544366,775.9254606316098,272.8184206837112
7,217.06499549040285,244.87768375252165,790.8994165638982,286.4632841905741,194.49916926910208,207.57513097671406,784.1026842359965,292.6243484204967,195.72923684724677,200.11429234315074,778.2025939607537,312.27775508212886
10,203.62501947807317,207.84075634966305,792.371626670112,308.02030685902884,200.69109083036892,195.12841925255276,781.2950184013757,316.05125244738053,203.6392287993302,192.5402555311486,775.7919248604626,333.58087097367746
15,246.86843171881537,283.717623703569,804.4116542228162,360.7072991898829,256.3134316661247,281.1495331669608,802.6615625523266,390.7754491510503,262.7089292310207,292.00419517534334,807.9568343433215,422.5622956074911
20,308.53979870730655,332.08110455128275,844.2803748422401,496.5998734640416,331.333427874653,365.5592564824477,852.4755317152685,546.5191385979465,358.6825654486199,415.9029934972817,862.719005622039,619.8485429153034
25,380.14505921826765,397.89011045764886,885.0189453484165,643.7957811404312,435.81673980637487,460.58391200735616,889.465201836272,716.8194335135477,453.8884562386698,515.8527696930588,881.7354730403695,776.9686131486127
30,429.83606684003814,447.0960970529714,930.7092521879724,738.5731601072204,428.1739699551089,468.3235420091542,906.0936902885403,780.3887480227448,432.9511729395653,450.6465355464302,893.0512426597545,822.3596772786976
