,rf_betti_prediction_3,xgbt_betti_prediction_3,gp_betti_prediction_3,enet_betti_prediction_3,infor_betti_prediction_3,rf_betti_prediction_5,xgbt_betti_prediction_5,gp_betti_prediction_5,enet_betti_prediction_5,infor_betti_prediction_5,rf_betti_prediction_7,xgbt_betti_prediction_7,gp_betti_prediction_7,enet_betti_prediction_7,infor_betti_prediction_7
1,161.5452003959073,144.673243898103,520.5948476105211,131.17441701220037,5.356436729431152,156.1048862120865,139.7209719405072,503.5031380953503,137.71489920377329,5.439267635345459,157.47497222297864,145.60881669734152,473.6376172268557,150.3653813123892,5.122135639190674
2,185.90428427484738,165.45497121573592,534.1461398913532,172.13168715824798,5.578117370605469,183.80922540254915,162.7858793016151,510.76382131819605,182.54671998354968,5.28394079208374,178.0771610941676,168.68575073194538,482.7567929639888,195.65175778810828,5.495238780975342
5,218.47661243455602,221.3577195401145,561.615482788145,266.34927122624225,5.253741264343262,197.2606044757243,194.89228435215182,537.2944441624511,262.5715611267522,5.410543918609619,193.6610959453086,183.2732113539783,507.1076687096917,275.89082092831944,5.183109283447266
7,213.69570727526838,201.1587432849987,583.4878567617875,293.0177234421257,5.4569411277771,190.83921150560587,180.6578810901977,555.1830156557061,299.9682423988951,5.517237663269043,203.9417628133763,201.67147170584144,522.1163172342854,313.6874171629567,5.42409086227417
10,202.3667652095925,202.78920089590568,594.3145736839728,314.059424662935,5.687304973602295,203.2841102083092,184.003145353551,559.4682289238991,337.50714786311613,5.729044437408447,212.65831653901142,178.6516232783794,537.2519463606499,333.81793591201637,5.766290664672852
15,254.9562804444827,284.0804023511654,629.5227516561671,362.2908854013346,5.571717739105225,259.2327972739372,270.3032648711443,617.4634028083739,400.24361898999587,5.615088939666748,267.7369335521884,275.007990792995,611.0684090550384,398.7255622993511,5.627601146697998
20,318.98838984057204,315.8757667184996,708.0504454597124,468.87171974760184,5.46014404296875,349.44954813868225,345.1508221053515,700.7381459179021,542.3970161356984,5.511484622955322,367.94883612915606,377.46430294797415,708.134771617666,560.9101713844639,5.562485694885254
25,396.95453228359884,363.298788877695,763.1244094646028,599.5573223063525,6.246697902679443,424.7381282307243,427.6059167036864,768.6941814462305,705.7617153054256,6.09304141998291,439.84229049698183,439.9834996906134,760.4679364661553,674.6955136272747,6.363996982574463
30,495.8247452362657,455.4575282065277,829.3859016508933,672.9414462443681,6.311831951141357,478.416008438838,449.42868177275915,807.0472794659869,742.6525691234856,6.001201152801514,464.85223722990065,406.20766856375326,801.8262778531108,711.4259499711764,6.371301174163818
