,rf_base_prediction_3,xgbt_base_prediction_3,gp_base_prediction_3,enet_base_prediction_3,infor_base_prediction_3,rf_base_prediction_5,xgbt_base_prediction_5,gp_base_prediction_5,enet_base_prediction_5,infor_base_prediction_5,rf_base_prediction_7,xgbt_base_prediction_7,gp_base_prediction_7,enet_base_prediction_7,infor_base_prediction_7
1,141.05028388992173,151.55331570110897,776.5670536002307,124.03768464905056,6.096129417419434,142.52323969318036,149.50265047817715,771.2669912601915,128.28461015058022,6.078393459320068,145.7860645375381,148.1240443007144,768.5706586648233,137.49936602147932,6.064619064331055
2,165.82747369059246,182.1783535439927,779.8756591310489,164.84020125746153,6.018570899963379,168.05495981074262,179.56615772466702,772.9081076891365,170.4593555402943,6.028398036956787,170.11417239199454,181.3608419698144,771.0209913884586,178.74522161262277,6.113006591796875
5,205.34629267650826,224.75835913264717,787.5547904110374,255.80099158251446,5.528853893280029,204.10238532140804,218.9290981116946,779.5787184714222,260.2776251893148,5.413290023803711,197.42746180000444,199.45330280544368,775.9254606316098,272.8184206837112,5.212615013122559
7,217.06499549040282,244.87768375252162,790.8994165638983,286.4632841905741,5.159491539001465,194.49916926910208,207.5751309767141,784.1026842359965,292.6243484204967,5.48099422454834,195.72923684724682,200.11429234315074,778.2025939607538,312.27775508212886,5.352183818817139
10,203.6250194780732,207.84075634966305,792.371626670112,308.02030685902884,5.375796318054199,200.6910908303689,195.1284192525528,781.2950184013757,316.0512524473805,5.318613529205322,203.63922879933017,192.5402555311486,775.7919248604627,333.58087097367746,5.607818603515625
15,246.86843171881537,283.717623703569,804.4116542228163,360.70729918988286,5.397790431976318,256.3134316661247,281.14953316696085,802.6615625523267,390.77544915105034,5.305902481079102,262.7089292310207,292.00419517534334,807.9568343433216,422.56229560749114,5.005006790161133
20,308.53979870730655,332.08110455128275,844.2803748422401,496.5998734640416,4.705145359039307,331.333427874653,365.55925648244767,852.4755317152685,546.5191385979465,4.803990840911865,358.68256544861987,415.9029934972817,862.719005622039,619.8485429153034,4.474536895751953
25,380.14505921826765,397.89011045764886,885.0189453484164,643.7957811404312,5.455015182495117,435.81673980637487,460.58391200735616,889.465201836272,716.8194335135478,5.3696417808532715,453.8884562386698,515.8527696930588,881.7354730403696,776.9686131486128,5.483820915222168
30,429.8360668400381,447.09609705297134,930.7092521879724,738.5731601072204,5.5656609535217285,428.1739699551089,468.3235420091542,906.0936902885403,780.3887480227447,5.618622303009033,432.95117293956525,450.6465355464302,893.0512426597545,822.3596772786976,5.98100471496582
