,rf_betti_der_prediction_3,xgbt_betti_der_prediction_3,gp_betti_der_prediction_3,enet_betti_der_prediction_3,rf_betti_der_prediction_5,xgbt_betti_der_prediction_5,gp_betti_der_prediction_5,enet_betti_der_prediction_5,rf_betti_der_prediction_7,xgbt_betti_der_prediction_7,gp_betti_der_prediction_7,enet_betti_der_prediction_7
1,301.87817684804986,365.5832053035259,350.93968823336684,352.5971360365522,294.1604736052623,316.38174726112123,380.5789421054096,382.0695778343009,289.2099171929242,322.787716618833,395.7117665077318,400.7338545140711
2,377.37785239207716,432.13458551705855,424.25355770084366,427.5184322273754,359.1003193799726,374.806683504977,471.08390133408744,468.10085123999505,369.12948902184945,409.9728527597894,508.58629825213137,514.3779448754216
5,534.1399913603923,652.2717225206072,549.6428345320672,551.0025025125442,421.6081886231323,511.7602368297092,619.8620230948537,622.3993869211932,454.99864249466805,487.4648295005497,795.1354818516667,798.0269159687886
7,577.4906414225579,670.2038794277455,652.8893963507327,651.8171486885694,539.0901417577236,581.0784456508433,827.8874680254271,828.7494033179386,504.7630862700725,475.60527751487365,1012.3002306106989,1012.7034956894815
10,769.8481894710122,699.7453536823235,856.7691785919284,856.7930630282565,721.2276611520767,671.484355737347,1032.436343424583,1031.805261269755,586.7175313197043,592.2068557522786,1163.1250741144593,1164.2609583517174
15,798.1412039870777,862.3870128892248,1061.7791607900808,1063.3575928697587,724.5513085629275,764.8196127192347,1006.0338175677033,1005.8876326200218,616.0439621705697,644.3471735019872,976.6313814318174,978.758220591688
20,783.134087612308,822.289875895356,986.4634049388964,989.3956893240246,731.1213481112994,750.9649525776819,926.139887307322,928.0866557395635,559.278874075932,627.8284797617897,841.073853710988,846.108943620186
25,704.8250665523593,714.775852977701,952.065261888798,954.6483186225184,691.6754471283848,697.8492673923216,789.5347808765298,791.264624244548,668.2631565666233,622.0098391504752,836.4886917144604,843.7540417560703
30,786.4682134461211,745.442418970104,972.5894365684978,974.245591996396,788.5045242083095,773.3576662838482,853.0102879067919,853.8671694709369,738.3188585847714,773.7316330614899,848.5378749944749,851.8960429874606
