,rf_fl_prediction_3,xgbt_fl_prediction_3,gp_fl_prediction_3,enet_fl_prediction_3,rf_fl_prediction_5,xgbt_fl_prediction_5,gp_fl_prediction_5,enet_fl_prediction_5,rf_fl_prediction_7,xgbt_fl_prediction_7,gp_fl_prediction_7,enet_fl_prediction_7
1,278.7086198695744,400.9116236778375,376.0328817214024,384.15536035591145,299.72828303088085,318.83202474030116,365.1063268694055,369.43906752203895,285.82697388527004,356.9180998492511,378.35624654234266,383.58794227262064
2,366.4294303241906,468.9986993585377,461.5668381225198,471.10344055589434,362.90308265911403,461.00494574353536,484.50144254165474,482.46071770161086,367.49391000854416,364.60770699479184,470.022528866844,477.2387579093148
5,480.14303559794286,600.2600769666428,705.680035173482,716.0868758956587,461.48020926754594,546.7814188503482,620.9575709600988,626.5534666606794,426.7011993577377,501.27649057182003,736.7382285543347,740.562870124687
7,603.7402827952707,620.4563481825293,861.1731720861313,868.1973999460615,555.977374855285,542.2634230703745,764.5401883848327,765.7106745457454,522.2794701991216,537.1503700082501,881.3592368796325,884.7791331839408
10,767.6181366981995,706.6367949661269,944.9759801230493,950.7142602694627,698.5895038964093,720.9907627702313,886.2623459416786,889.8184743857458,657.049182817692,634.7423099179698,972.4320953446372,980.9486944160101
15,868.6637769898103,902.0880223126787,891.1571786085206,898.8448561918633,836.358988541121,830.2468066785924,754.5233314781016,763.3269327770236,957.1976745658434,824.1428031597436,691.3351775193595,696.4445772218062
20,889.6160915132267,861.1007374285542,788.980611221027,790.7026418604752,812.737267800705,747.2810180915878,560.7420475489805,560.713859451262,811.2890690734918,697.1941766825079,650.323197019942,654.6047571905779
25,945.5920881654214,826.1909706599316,922.0752531716224,925.1011074134377,838.7685228942792,760.7430840960699,916.9845594588268,922.9674370942438,782.2241441235827,658.3947751919056,981.5060507140896,980.8531309556162
30,977.5906179667105,933.4653716126807,994.063454416818,994.2307684154596,928.5718406271676,805.7675098935176,974.1829811252333,982.0763898978023,775.2011935587627,704.4454556599823,1074.247969786217,1085.9830334634203
