,meanValue,medianValue,stdValue,sumValue,totaltx,inputDegree,outputDegree,price
2020-02-20,328079013.00475574,3674572.0,103754987862754.0,12740985170.160551,128769390.754,533412,708155,9606.86
2020-02-21,243919544.8051094,2864267.0,82798977323184.0,2703034496.833204,79370095.0346,562832,755304,9696.58
2020-02-22,188273841.8882517,2036881.0,57123224998105.0,4195614123.619459,34324865.7888,486829,673857,9669.63
2020-02-23,237597026.49584308,1924692.0,68188445828095.0,2559587984.716625,64282324.0134,463746,635436,9989.39
2020-02-24,245023047.4909991,3133853.0,80386671374752.0,5137068151.720137,116289798.6375,548611,736572,9663.75
2020-02-25,260426398.3932007,3074584.0,87251958385666.0,19509461065.49887,114160526.829,554967,750183,9309.15
2020-02-26,269668503.57591844,4165047.0,89045348886279.0,3190456405.609456,206929921.0304,566929,740943,8785.52
2020-02-27,288542885.9885724,3693109.0,97564140410658.0,14445690273.037031,147977054.9632,576754,755164,8804.72
2020-02-28,273313218.85952115,3200726.0,100489344491299.0,13876802951.60883,123840827.84,612047,822717,8712.35
2020-02-29,206711886.0411715,2679831.0,63818780713149.0,4242871215.097272,42866205.1042,498956,687405,8531.42
2020-03-01,183081191.70091844,1858765.0,56792334909200.0,3691899763.1285152,70749037.3753,498354,689279,8534.17
2020-03-02,240457301.4781941,3810582.0,82356385298980.0,3472948819.4320946,111268001.3928,580087,766550,8912.82
2020-03-03,230784423.8188596,3702217.0,79087514198485.0,3773334113.8214,85149525.727,587647,765485,8754.34
2020-03-04,283152163.6971012,3437177.0,100891929512060.0,29852715855.676315,70042032.863,612662,787760,8758.9
2020-03-05,243465877.45588344,3634462.5,85639122395107.0,4128741780.386159,122314466.7311,599781,778264,9067.39
2020-03-06,280904124.0071363,4049512.5,94510192522201.0,4622951638.378395,83522225.9936,588610,746672,9155.89
2020-03-07,196007877.28520444,2509614.0,61839113228341.0,1454573946.8377512,59230883.0334,528349,702188,8898.63
2020-03-08,205400393.41345108,2242936.0,62167920873269.0,2128732786.4355736,149933311.4868,498477,673561,8039.38
2020-03-09,352002754.0958063,4271876.5,122244924453408.0,4916195395.649978,223121982.1464,603530,774232,7931.94
2020-03-10,322810844.0258015,4567311.0,106508855499561.0,4534574808.12723,155835851.2678,567547,738682,7885.46
2020-03-11,593232810.6989602,4413061.0,170932915609177.0,40975809831.48263,130840913.439,489430,651667,7936.65
2020-03-12,671767219.9023575,6606014.0,234486394011897.0,20583920339.3356,574694714.8404,642180,799215,4830.21
2020-03-13,850530127.308839,11869265.0,235587489433148.0,13720627350.212751,684475988.6524,509101,677975,5609.03
2020-03-14,402712216.2734048,4598077.5,112331740182871.0,6868611794.524351,158994389.6178,519715,646140,5166.26
2020-03-15,384166751.5898874,4335194.0,86037217352568.0,5143467526.301972,201009885.676,410408,526734,5348.44
2020-03-16,592777100.5567243,8250190.0,160211052521667.0,9709240536.035326,379747427.5455,496675,643322,5026.35
2020-03-17,542084653.6414514,7640113.5,151054057075805.0,15862934988.77438,222784692.9885,521989,661922,5357.61
2020-03-18,493684625.6716628,8269406.0,114361549852215.0,13180653020.312954,246280973.4105,405247,563626,5410.23
2020-03-19,496789401.9736159,8372500.0,131991976210370.0,9546888840.12004,343510892.032,475659,632319,6195.2
2020-03-20,472060650.7571164,7389957.0,134028404084262.0,18314750027.71271,382708757.244,504945,667384,6226.44
2020-03-21,283001441.8966101,4184768.0,69700708126158.0,7181939511.683211,161732857.492,456596,580182,6189.85
2020-03-22,391053046.59300894,3459362.5,81823157363028.0,22423833018.33116,155141963.114,367708,499295,5822.62
2020-03-23,398738774.337651,5788859.0,103524149242510.0,4765538208.5989895,284307011.0216,462520,607990,6502.16
2020-03-24,500594792.96747607,5014350.0,138555127392331.0,24639451232.0227,284016940.7236,511616,650608,6768.49
2020-03-25,409561386.88815135,6482321.0,89771350830627.0,9186021156.44776,226038996.8232,377347,534367,6698.46
2020-03-26,298054799.79247344,4315053.5,87342574640786.0,5035132966.546669,97401178.9625,545319,682222,6763.75
2020-03-27,379261181.4125807,4424309.5,104282412963566.0,7979306999.432162,148443297.8847,499151,651175,6369.09
2020-03-28,291379629.00021565,3848593.0,70265323394515.0,3640918806.12361,142726744.923,422975,584424,6260.95
2020-03-29,277552810.9804653,2911381.0,64604857600679.0,3781033904.516958,103365161.5595,402507,555070,5885.41
