,BTC Price,ETH Vol., LTC Vol.,XRP Vol.,DOGE Vol.,USDT Vol.,BNB Vol.,ADA Vol.,BTC Vol.,total Vol.
49,10158.6,20760000.0,12100000.0,3260000000.0,2029999999.9999998,3770000.0,2160000.0,555030000.0,905950.0,5884725950.0
50,9611.9,22070000.0,12450000.0,3280000000.0,2180000000.0,2830000.0,2370000.0,598580000.0,870800.0,6099170800.0
51,9602.2,17460000.0,12130000.0,2450000000.0,1770000000.0,1220000.0,2990000.0,409790000.0,716610.0,4664306610.0
52,9684.5,13400000.0,11560000.0,1820000000.0,1710000000.0,670330.0,2140000.0,282130000.0,589880.0,3840490210.0
53,9655.6,16040000.0,11930000.0,1990000000.0,1690000000.0,1240000.0,3050000.0,362450000.0,775880.0,4075485880.0
54,9943.2,19960000.0,13520000.0,2380000000.0,1790000000.0,2390000.0,2300000.0,448740000.0,980000.0,4657890000.0
55,9662.6,20310000.0,11890000.0,2600000000.0,1960000000.0,2150000.0,2340000.0,425450000.0,937970.0,5023077970.0
56,9317.1,29550000.0,18330000.0,4120000000.0,2340000000.0,2870000.0,3770000.0,974720000.0,1320000.0,7490560000.0
57,8800.1,28830000.0,15070000.0,3130000000.0,1760000000.0,3390000.0,3020000.0,659390000.0,1130000.0,5600830000.0
58,8820.1,24110000.0,13750000.0,2640000000.0,1630000000.0,2360000.0,3100000.0,559790000.0,1080000.0,4874190000.0
59,8697.1,16340000.0,8870000.0,1870000000.0,1500000000.0,1120000.0,3570000.0,373800000.0,683440.0,3774383440.0
60,8543.8,17170000.0,9850000.0,1790000000.0,1630000000.0,1060000.0,2390000.0,423080000.0,784050.0,3874334050.0
61,8537.5,18120000.0,10710000.0,2029999999.9999998,1550000000.0,4200000.0,3270000.0,394760000.0,1020000.0,4012080000.0
62,8906.1,18480000.0,9410000.0,2089999999.9999998,2390000000.0,1610000.0,2550000.0,357540000.0,1010000.0,4870600000.0
63,8761.3,14650000.0,7770000.0,2009999999.9999998,1960000000.0,2210000.0,2410000.0,390640000.0,759690.0,4388439690.0
64,8757.9,17820000.0,9150000.0,2150000000.0,1900000000.0,2880000.0,3090000.0,417300000.0,950760.0,4501190760.0
65,9060.6,17740000.0,8760000.0,2390000000.0,1830000000.0,1710000.0,3230000.0,293270000.0,1040000.0,4545750000.0
66,9134.2,16900000.0,7580000.0,2180000000.0,1980000000.0,1210000.0,2380000.0,271380000.0,750650.0,4460200650.0
