,BTC,ETH, LTC,XRP,DOGE,USDT,BNB,ADA
71,7935.2,194.57,48.553,0.20812,0.002176,1.0004,16.56,0.039694
72,4815.2,107.87,29.852,0.13582,0.00158,1.0044,9.28,0.023225
73,5589.4,134.02,37.556,0.15886,0.001753,1.0099,10.9,0.028387
74,5182.9,122.67,34.435,0.14596,0.001687,1.0119,10.15,0.025763
75,5366.4,124.35,36.391,0.15309,0.001695,0.9971,10.39,0.026962
76,5030.2,111.06,33.134,0.14092,0.001637,1.0023,9.55,0.024199
77,5260.7,115.95,34.172,0.14719,0.001703,1.0044,10.31,0.025814
78,5359.2,117.76,34.709,0.14751,0.001672,1.0035,10.4,0.026069
79,6171.6,135.43,38.976,0.16467,0.001763,1.0034,12.25,0.030297
80,6205.6,133.32,38.046,0.15683,0.001773,1.0001,11.92,0.029466
81,6186.9,132.59,38.347,0.15789,0.001782,1.001,12.09,0.029449
82,5822.0,122.46,35.429,0.14788,0.001726,1.0005,11.11,0.027042
83,6468.8,136.00,39.05,0.15862,0.001816,1.0042,12.19,0.029255
84,6744.8,138.59,40.575,0.16236,0.001844,1.0033,12.4,0.03023
85,6677.9,136.08,39.181,0.16173,0.001831,1.0018,12.34,0.029458
86,6725.5,138.38,40.412,0.17598,0.001825,1.0038,13.2,0.030841
87,6373.4,131.74,38.059,0.17286,0.001781,1.0011,12.32,0.028815
88,6233.2,131.02,38.848,0.17547,0.001774,1.0023,12.2,0.029747
89,5890.4,125.24,37.194,0.16288,0.001721,0.9998,11.32,0.028067
90,6391.1,132.15,38.924,0.17113,0.001805,1.0022,12.12,0.029661
91,6412.4,132.88,39.058,0.17364,0.0018,1.0017,12.57,0.030454
92,6638.8,135.65,39.215,0.17498,0.001858,1.0027,12.72,0.03093
93,6799.9,141.29,39.906,0.1784,0.001877,1.0005,13.01,0.031898
94,6735.9,141.13,40.476,0.17952,0.001841,1.0009,13.37,0.03227
95,6857.5,144.03,40.709,0.18122,0.001872,1.0017,13.79,0.032464
96,6772.8,142.58,40.342,0.17935,0.00185,1.0012,13.67,0.03189
97,7332.3,171.07,45.008,0.19805,0.001984,1.0016,15.17,0.035991
98,7185.6,164.71,44.882,0.19287,0.002,1.0001,14.72,0.035254
99,7361.1,173.01,46.542,0.20192,0.002004,1.0014,15.07,0.036419
100,7289.0,169.67,46.275,0.1983,0.00202,1.0013,15.01,0.036082
101,6862.7,157.85,42.27,0.18762,0.001962,1.0014,13.72,0.033212
102,6867.9,158.18,42.531,0.18843,0.002015,1.0017,13.8,0.033451
103,6918.1,158.76,42.02,0.18941,0.001955,1.0013,14.21,0.033452
104,6841.8,156.36,41.199,0.18769,0.001961,1.0025,15.05,0.033107
105,6851.3,158.43,41.253,0.18611,0.001979,1.0011,15.55,0.033106
106,6629.1,152.90,39.336,0.18058,0.001987,1.0005,14.55,0.031854
107,7085.5,172.32,42.547,0.19053,0.001998,1.0016,15.68,0.034453
108,7035.9,170.63,42.19,0.18868,0.002001,1.0013,15.64,0.03433
109,7230.9,187.47,44.142,0.19529,0.002047,1.0012,16.61,0.03653
110,7122.9,180.12,42.246,0.18897,0.002042,1.0015,16.07,0.035514
111,6833.4,170.37,40.229,0.18175,0.001978,1.0013,14.99,0.033945
112,6842.5,170.79,40.59,0.18352,0.00195,1.0015,15.14,0.034535
113,7112.8,182.72,41.818,0.18804,0.001998,1.0014,15.69,0.036643
114,7491.3,185.48,42.97,0.19263,0.002054,1.0007,16.05,0.040833
115,7503.9,187.57,44.426,0.19315,0.002081,1.0015,15.93,0.041655
116,7540.4,194.01,44.376,0.19419,0.002123,1.001,16.2,0.042239
117,7679.4,197.35,44.565,0.19619,0.002402,1.0009,16.4,0.045935
118,7766.0,196.13,44.46,0.1975,0.002343,1.0015,16.42,0.04648
119,7746.7,196.55,45.732,0.21452,0.00232,1.0016,16.36,0.046816
120,8770.6,215.42,48.805,0.22643,0.002505,1.0009,17.37,0.05145
121,8628.6,206.23,46.39,0.21143,0.00246,1.0005,16.95,0.04757
122,8821.6,212.00,47.089,0.21782,0.002473,1.0004,17.38,0.05093
123,8966.2,213.96,49.214,0.22371,0.002541,1.0012,17.54,0.05091
124,8885.5,209.85,48.049,0.21937,0.002505,1.0008,17.08,0.049022
125,8874.2,206.59,46.971,0.21799,0.002464,1.0017,17.05,0.049439
126,9000.6,205.36,46.549,0.21695,0.002476,1.0009,16.88,0.049451
127,9152.7,199.05,44.96,0.2118,0.002479,1.0013,16.31,0.048911
128,9980.1,212.00,47.364,0.2186,0.002661,1.0017,17.02,0.051189
129,9806.0,211.47,47.711,0.21868,0.002615,1.0011,17.13,0.052002
130,9553.9,210.19,47.019,0.21648,0.002604,1.0,16.77,0.0515
131,8737.6,187.77,42.101,0.19677,0.002453,1.0003,15.36,0.047639
132,8569.8,185.82,41.542,0.1927,0.002411,1.0007,15.08,0.047875
133,8813.9,189.82,42.184,0.197,0.002461,1.0007,15.71,0.050429
134,9298.7,199.58,43.179,0.20171,0.00252,1.0012,16.21,0.051507
135,9778.6,203.29,43.981,0.204,0.002575,1.0002,16.35,0.050997
136,9318.1,194.85,42.737,0.19809,0.002492,0.9993,15.71,0.050262
137,9376.6,200.51,43.26,0.19981,0.002512,0.9997,16.01,0.051031
138,9678.4,207.00,43.67,0.20135,0.00253,0.9999,16.27,0.051289
139,9730.8,214.88,45.313,0.20539,0.002537,0.9996,16.63,0.054326
140,9773.0,214.52,45.714,0.20496,0.002543,1.0003,17.2,0.056769
141,9511.6,210.00,44.229,0.20176,0.002517,0.9994,16.9,0.056874
142,9058.2,198.75,42.931,0.19432,0.0025,0.9988,16.08,0.052085
143,9169.8,207.35,44.203,0.20035,0.002538,1.0,16.59,0.055746
144,9177.9,206.65,43.874,0.19883,0.002538,1.0,16.46,0.054907
145,8728.0,199.99,42.147,0.19271,0.002476,0.9994,15.97,0.051388
146,8897.7,204.13,42.981,0.19619,0.002537,0.9999,16.39,0.05389
147,8842.3,200.99,42.274,0.19373,0.002506,0.9999,16.21,0.05354
148,9199.8,208.20,43.847,0.19792,0.002511,0.9999,16.45,0.055106
149,9573.4,220.14,44.723,0.20045,0.002532,1.0002,17.12,0.064977
150,9424.8,220.66,44.502,0.19758,0.002528,0.9996,17.02,0.064706
151,9692.9,243.63,47.73,0.20703,0.002616,1.0,17.75,0.076878
152,9454.5,231.80,45.611,0.20254,0.002573,0.9994,17.08,0.07416
153,10190.7,248.01,48.206,0.2109,0.002647,1.0012,17.95,0.080921
154,9527.0,237.90,46.016,0.20316,0.002575,0.9999,17.27,0.078764
155,9667.2,244.53,47.15,0.20411,0.002594,0.9999,17.6,0.085508
156,9794.0,243.37,47.437,0.20438,0.002632,0.9999,17.51,0.088807
157,9630.8,240.27,46.832,0.20282,0.002588,0.9995,17.6,0.085188
158,9669.6,242.00,46.795,0.2037,0.002587,0.9998,17.54,0.086191
159,9743.4,244.56,46.638,0.20334,0.002607,1.0004,17.42,0.086535
160,9777.7,246.19,46.405,0.20409,0.002585,1.0006,17.44,0.086438
