,BTC,ETH, LTC,XRP,DOGE,USDT,BNB,ADA
354,23843.6,657.79,119.867,0.57665,0.003919,1.001,33.28,0.164314
355,23474.1,638.28,114.603,0.55604,0.004645,1.0007,34.18,0.161983
356,22730.4,607.86,104.433,0.51439,0.004777,1.0001,32.05,0.152704
357,23820.8,637.04,114.308,0.44685,0.004515,1.0,33.47,0.156633
358,23253.2,585.47,102.371,0.2604,0.003764,0.9999,31.19,0.136509
359,23728.7,612.38,111.281,0.33781,0.004573,0.9998,32.5,0.152995
360,24714.7,626.99,127.615,0.31803,0.004558,0.9998,33.2,0.157512
361,26460.3,636.35,129.657,0.29463,0.004511,0.9992,33.6,0.158324
362,26259.2,683.76,127.88,0.28394,0.004549,0.9987,33.64,0.154642
363,27065.3,730.26,129.829,0.24923,0.004594,0.9982,35.97,0.176434
364,27374.5,732.04,128.798,0.22152,0.004488,0.9991,39.13,0.191005
365,28866.8,751.92,130.088,0.2113,0.004626,1.0005,38.17,0.184036
